"","celltype","nUMI"
"963","alpha",10613.2299065975
"964","beta",21785.9818821987
"965","beta",21905.0567199827
"966","duct",50472.4439883852
"967","beta",10605.0944367758
"968","acinar",45190.6714535004
"969","alpha",19584.2122350821
"970","alpha",29367.6145141211
"971","alpha",10739.0600191598
"972","duct",19612.7720036647
"973","beta",14423.158247154
"974","alpha",28459.1287158697
"975","pp",18419.4225585597
"976","alpha",51690.2942571544
"977","alpha",26360.4130002127
"978","beta",25607.6690971388
"979","alpha",25029.9470114791
"980","acinar",29630.9485449812
"981","duct",16688.4439714107
"982","beta",12856.2843605658
"983","beta",10914.2809361715
"984","alpha",18038.2944434854
"985","duct",34015.3016232266
"986","duct",23986.5227404756
"987","alpha",18088.2550565806
"988","pp",22665.7366143001
"989","beta",12744.0222409453
"990","pp",8258.77740374774
"991","duct",16190.1335624472
"992","duct",10571.1032145092
"993","duct",14081.2129575258
"994","alpha",15456.859435911
"995","beta",23790.9606960259
"996","alpha",30164.4049317675
"997","acinar",60149.3677606015
"998","alpha",22328.9600078553
"999","duct",9572.10608741259
"1000","alpha",24630.1934332752
"1001","alpha",17741.196553677
"1002","duct",27325.5189022679
"1003","beta",10809.7672611051
"1004","alpha",28860.0726731466
"1005","beta",16408.6478065428
"1006","duct",17732.6400206548
"1007","delta",11359.4778076308
"1008","acinar",40087.093064798
"1009","alpha",13438.6912086536
"1010","alpha",23711.5755970522
"1011","duct",33510.0791831611
"1012","alpha",11329.3001811088
"1013","delta",9845.69067262076
"1014","alpha",10544.8312955968
"1015","alpha",9947.5440098494
"1016","acinar",38260.0885562741
"1017","duct",31421.7291510593
"1018","acinar",26250.1438194029
"1019","mesenchymal",41356.2855276073
"1020","duct",14198.2280531099
"1021","duct",20353.2958139763
"1022","alpha",12441.4179885559
"1023","beta",18469.7234056731
"1024","mesenchymal",32927.7552850971
"1025","acinar",21378.8912847372
"1026","beta",13810.4154113733
"1027","beta",9560.24899155248
"1028","delta",14502.6155630315
"1029","acinar",35741.2818063871
"1030","alpha",12916.0563808472
"1031","alpha",15785.0508390409
"1032","alpha",16471.0782282626
"1033","beta",22201.2069008245
"1034","duct",27431.9618389976
"1035","delta",14565.4761372234
"1036","duct",13524.0061390289
"1037","acinar",41522.3020867858
"1038","alpha",17971.225263044
"1039","duct",17540.6650491751
"1040","duct",35863.3198872723
"1041","beta",21877.1085826579
"1042","alpha",15883.6474440919
"1043","alpha",26834.9204083553
"1044","beta",20211.9608470669
"1045","beta",17208.3588129601
"1046","beta",19582.2288138154
"1047","beta",14875.402593037
"1048","alpha",16419.0254039814
"1049","beta",24200.9071166358
"1050","acinar",54515.1893473145
"1051","duct",24220.6897200092
"1052","pp",15297.4729716751
"1053","alpha",28185.9734857975
"1054","alpha",10466.3243868659
"1055","beta",19778.6749374908
"1056","duct",16215.3912530375
"1057","pp",8332.5995318511
"1058","acinar",45380.8899774345
"1059","alpha",24940.2675172907
"1060","alpha",18979.5622844704
"1061","beta",16265.1660967171
"1062","beta",24460.7574078242
"1063","alpha",15471.768403458
"1064","duct",48180.5755394917
"1065","acinar",56414.3919256134
"1066","delta",18608.8808295964
"1067","beta",22693.6583867348
"1068","beta",19235.9658940773
"1069","duct",44547.7768136113
"1070","alpha",11254.576584421
"1071","acinar",29320.69136786
"1072","duct",25922.6809594218
"1073","duct",10559.814802689
"1074","duct",24078.3257819462
"1075","delta",27708.460137832
"1076","mesenchymal",48660.1320284519
"1077","alpha",14607.6594224931
"1078","alpha",41706.9242471835
"1079","acinar",28524.2965481665
"1080","duct",13701.1223764143
"1081","mesenchymal",40888.3025634782
"1082","acinar",36714.6135146875
"1083","duct",26170.7608838355
"1084","alpha",16097.1815817602
"1085","mesenchymal",29595.3103690277
"1086","beta",28191.8601615223
"1087","alpha",10409.3528925822
"1088","duct",11036.6170285495
"1089","acinar",30917.9993663939
"1090","alpha",13947.6080800313
"1091","alpha",10916.7739668679
"1092","beta",16852.267614065
"1093","alpha",12151.0018947657
"1094","beta",13908.1438797342
"1095","duct",24294.9126327253
"1096","alpha",14259.9621080872
"1097","acinar",33416.5374198443
"1098","mesenchymal",26319.9326422424
"1099","delta",9847.92506280193
"1100","beta",13706.3379253177
"1101","alpha",11068.9531740352
"1102","alpha",9019.46073612034
"1103","duct",32222.1450100667
"1104","beta",18527.4382161477
"1105","acinar",18349.2783488286
"1106","alpha",10822.7167797583
"1107","duct",23111.6670888167
"1108","acinar",26392.1851939184
"1109","alpha",15219.4073785104
"1110","alpha",13625.4236264046
"1111","alpha",13243.6811500157
"1112","pp",12801.9560033965
"1113","beta",6369.83554957208
"1114","alpha",8440.59404789333
"1115","beta",16263.5428807731
"1116","alpha",11960.0969198338
"1117","acinar",34445.4272235018
"1118","duct",39175.4234522123
"1119","alpha",7466.66759446614
"1120","alpha",14999.0340798568
"1121","acinar",21804.5950218214
"1122","delta",16315.4138447544
"1123","delta",21124.0339945783
"1124","beta",10954.4215431609
"1125","alpha",13832.5023860198
"1126","alpha",25363.5477357796
"1127","duct",22469.4791881585
"1128","acinar",34670.124761263
"1129","beta",14967.1735933298
"1130","alpha",12671.9006860113
"1131","acinar",22478.2705723477
"1132","beta",9103.64600794733
"1133","alpha",18511.320406362
"1134","pp",13911.1010324973
"1135","alpha",17661.3388536966
"1136","mesenchymal",21768.8757532035
"1137","acinar",32446.2140274498
"1138","pp",6720.7957572479
"1139","delta",14567.8367791006
"1140","acinar",25639.5233388906
"1141","acinar",38526.9237597083
"1142","duct",13235.3346821158
"1143","beta",29593.5046732073
"1144","delta",14201.3879398809
"1145","beta",20051.3908293028
"1146","acinar",30262.9718440984
"1147","alpha",15542.295626189
"1148","endothelial",12643.3818895071
"1149","pp",15891.8553509171
"1150","acinar",30633.5021911686
"1151","beta",12502.7077234566
"1152","alpha",23232.6266384728
"1153","pp",18354.4212982074
"1154","acinar",21406.8482845218
"1155","alpha",8777.5250859193
"1156","duct",13900.552275141
"1157","duct",17936.7326979674
"1158","duct",23354.90775274
"1159","beta",12777.1278113027
"1160","alpha",10761.7731483641
"1161","alpha",22388.8673608864
"1162","acinar",56830.5211037406
"1163","beta",17656.3094986287
"1164","delta",16676.8096961898
"1165","acinar",39353.4870340881
"1166","alpha",18087.033372347
"1167","alpha",6989.12663229092
"1168","beta",30281.5577178501
"1169","alpha",19439.0598796216
"1170","alpha",24815.8504028303
"1171","delta",7649.74971218094
"1172","pp",7055.30628128388
"1173","alpha",18328.0272728887
"1174","alpha",6112.13555756381
"1175","alpha",13457.338226445
"1176","delta",6932.07746418429
"1177","acinar",13886.7127089618
"1178","beta",19902.1720168258
"1179","alpha",15501.3159235233
"1180","acinar",38917.4342881374
"1181","acinar",11087.1134591553
"1182","pp",10584.8700403708
"1183","mesenchymal",39196.694937184
"1184","beta",22852.3527964444
"1185","alpha",17778.0123190001
"1186","beta",17196.414720534
"1187","alpha",21274.5878683085
"1188","beta",26528.2362731978
"1189","alpha",16683.6529396834
"1190","alpha",18120.9758269013
"1191","alpha",17028.6169397475
"1192","beta",15614.6395148727
"1193","alpha",6993.23211389586
"1194","alpha",13928.2040619737
"1195","delta",17366.0282827442
"1196","alpha",26184.9742350825
"1197","alpha",16947.6867872694
"1198","alpha",14063.0150752974
"1199","alpha",19537.7384778872
"1200","duct",32284.0855177366
"1201","beta",21531.276567091
"1202","duct",17813.1669164684
"1203","acinar",28581.938448484
"1204","pp",15331.5521426664
"1205","duct",24077.8470872121
"1206","beta",8654.51233516403
"1207","pp",8485.02252257612
"1208","acinar",41103.2565690582
"1209","alpha",21254.1085708286
"1210","acinar",41225.805464527
"1211","beta",18272.8292862127
"1212","beta",19364.7321707792
"1213","delta",24841.9636668603
"1214","alpha",18646.9612055962
"1215","acinar",55180.0501385043
"1216","beta",40611.615235956
"1217","alpha",15808.7158921424
"1218","beta",29202.9883036998
"1219","alpha",22569.2251486836
"1220","alpha",28766.6153522632
"1221","alpha",30306.270374789
"1222","acinar",59652.6306047925
"1223","duct",22512.662973507
"1224","duct",30681.3665796515
"1225","beta",21673.994984327
"1226","alpha",18754.2938102783
"1227","delta",28961.8163290744
"1228","alpha",23994.331176087
"1229","delta",9965.84911532528
"1230","beta",22134.8403458558
"1231","beta",28873.8313633985
"1232","beta",24103.4906187391
"1233","beta",32596.9070120369
"1234","mesenchymal",80310.5999167008
"1235","duct",35735.4686858882
"1236","duct",24934.4954677632
"1237","acinar",55018.6401143109
"1238","duct",36890.9688527224
"1239","acinar",35097.0961955453
"1240","duct",47318.8419522557
"1241","delta",21969.0205164435
"1242","beta",15736.7584308249
"1243","duct",10114.160511901
"1244","duct",63228.8188844907
"1245","delta",18995.7875928189
"1246","alpha",12999.3969259913
"1247","alpha",6412.57989097327
"1248","beta",33514.8481087702
"1249","beta",25442.5889270882
"1250","alpha",24703.1583208102
"1251","beta",28144.1867742429
"1252","alpha",30824.9826750027
"1253","alpha",12750.7292968394
"1254","duct",16028.4179203362
"1255","acinar",13844.0727117633
"1256","beta",10857.033255512
"1257","acinar",46304.2418873216
"1258","beta",26383.0141137196
"1259","acinar",28823.9960217903
"1260","alpha",8422.34113010102
"1261","beta",15430.8086427816
"1262","acinar",12746.6149559768
"1263","beta",10254.8735696063
"1264","alpha",7440.34267460144
"1265","beta",11265.8882705542
"1266","alpha",14535.4013471398
"1267","alpha",7477.0661157492
"1268","alpha",10412.6374349216
"1269","duct",14528.2915321442
"1270","duct",14823.6390293938
"1271","beta",9932.92384025252
"1272","acinar",22635.2603560071
"1273","alpha",17604.0203492099
"1274","delta",8721.19627650897
"1275","duct",14122.732935497
"1276","alpha",9575.90178931934
"1277","alpha",11054.5503855976
"1278","beta",11955.0609395198
"1279","delta",13831.4929678666
"1280","alpha",11129.2331788189
"1281","alpha",8014.2419034116
"1282","beta",11635.6840389477
"1283","beta",12008.4293934504
"1284","beta",10868.6953004786
"1285","beta",8440.78953161638
"1286","beta",9762.56051188477
"1287","alpha",7372.38394479593
"1288","acinar",23705.5699914243
"1289","alpha",12211.8628858654
"1290","alpha",10102.0334028662
"1291","duct",23433.6626321796
"1292","beta",9907.5541882907
"1293","acinar",19761.1121657395
"1294","duct",14359.1428770052
"1295","delta",12767.3843064997
"1296","alpha",19001.2875280903
"1297","acinar",22446.1681101974
"1298","delta",19890.8655957177
"1299","duct",24414.1475825633
"1300","acinar",34360.3840311289
"1301","alpha",24469.8056765587
"1302","alpha",11966.7773261919
"1303","duct",16198.2186561935
"1304","beta",15783.4403961594
"1305","alpha",16660.9582938139
"1306","alpha",10596.9609717636
"1307","delta",16297.3973208672
"1308","alpha",6843.48640997565
"1309","acinar",18472.4731921186
"1310","alpha",15405.7378241002
"1311","alpha",13759.4184129467
"1312","acinar",16488.5039170415
"1313","beta",16393.7868582396
"1314","alpha",24885.6475963132
"1315","alpha",13035.6240047925
"1316","duct",13047.4875214652
"1317","duct",24378.4687642023
"1318","alpha",17770.3676379962
"1319","alpha",25285.400909135
"1320","alpha",16944.75642895
"1321","acinar",31367.7382013043
"1322","acinar",40035.6546424288
"1323","delta",32190.3713121327
"1324","duct",6480.30314522619
"1325","duct",11214.8367633057
"1326","beta",11744.7154797763
"1327","acinar",16941.8573784926
"1328","alpha",14612.5566915399
"1329","mesenchymal",23900.9807195178
"1330","mesenchymal",25341.7984895138
"1331","acinar",7744.73097236668
"1332","beta",14661.6190677862
"1333","duct",10510.0935018773
"1334","mesenchymal",32999.9289692017
"1335","mesenchymal",26130.5306691289
"1336","delta",21982.5787010083
"1337","beta",11392.0092242953
"1338","alpha",16289.3157661251
"1339","alpha",36867.5579544676
"1340","alpha",9254.76822124716
"1341","acinar",17778.1051979977
"1342","alpha",9723.60605788993
"1343","duct",33530.3200207608
"1344","acinar",35805.3906790496
"1345","alpha",9251.08111154731
"1346","beta",17699.3629876385
"1347","mesenchymal",11678.6863958292
"1348","alpha",12093.2357078981
"1349","duct",7767.39718880305
"1350","pp",6183.2929830129
"1351","endothelial",15759.2671058997
"1352","beta",8143.49501245445
"1353","acinar",29789.5121484992
"1354","alpha",10700.8458526188
"1355","acinar",16701.3936731474
"1356","delta",17331.3291388761
"1357","acinar",26429.1944353002
"1358","beta",9553.45162485254
"1359","beta",8645.25408685245
"1360","alpha",17516.0647688977
"1361","beta",17994.5384551447
"1362","beta",11394.2593832978
"1363","acinar",24550.1310481358
"1364","beta",16104.4968046035
"1365","duct",17935.6235480012
"1366","acinar",16293.0828753862
"1367","epsilon",8699.12424719761
"1368","duct",20966.7725812257
"1369","duct",19427.6571702102
"1370","acinar",17056.1319540853
"1371","alpha",10044.7210883498
"1372","beta",8586.50666433352
"1373","pp",7452.87928404167
"1374","acinar",8571.09897867507
"1375","duct",11225.104156013
"1376","alpha",11756.7760881152
"1377","alpha",11362.0428766612
"1378","duct",13161.2675616549
"1379","delta",10624.3287945511
"1380","acinar",35457.8090671731
"1381","acinar",12940.1733027863
"1382","duct",22032.9741304948
"1383","beta",12093.0298503049
"1384","acinar",27317.3426882217
"1385","duct",26067.7962822147
"1386","alpha",14674.033356465
"1387","delta",6412.91886017744
"1388","beta",17288.2013016051
"1389","alpha",20096.6151658167
"1390","beta",20627.7458261504
"1391","duct",26293.5260058809
"1392","duct",9104.6725902169
"1393","acinar",26892.0537688131
"1394","acinar",26724.5431259727
"1395","alpha",11764.9494594782
"1396","alpha",16278.9083198417
"1397","alpha",16020.9283448622
"1398","duct",6701.8516135656
"1399","beta",20888.4485137291
"1400","alpha",7793.99833492477
"1401","beta",6678.89199432885
"1402","acinar",38923.2130051671
"1403","acinar",16303.4152337291
"1404","alpha",12916.9481174754
"1405","alpha",6712.58835293176
"1406","beta",20588.2970189662
"1407","acinar",33521.2727778719
"1408","beta",20160.0313645857
"1409","duct",33205.3585677993
"1410","acinar",28058.8474011312
"1411","endothelial",16831.3033416284
"1412","beta",16883.8514425983
"1413","duct",23008.2105685411
"1414","endothelial",11594.1998994835
"1415","alpha",13310.4617008569
"1416","acinar",21647.4122037662
"1417","beta",19674.365642494
"1418","alpha",10689.709789259
"1419","duct",13984.8628220161
"1420","beta",14449.7239323761
"1421","acinar",21514.6355464547
"1422","duct",23507.9524402252
"1423","alpha",7471.55420166032
"1424","mesenchymal",35685.1099716705
"1425","beta",17761.4243006362
"1426","acinar",38166.381678298
"1427","beta",22606.2150228353
"1428","alpha",16799.495996759
"1429","alpha",6811.26185778295
"1430","alpha",10825.7356975787
"1431","alpha",13463.0647937431
"1432","beta",14534.7341767519
"1433","duct",27476.4231117866
"1434","alpha",13676.874159243
"1435","beta",14204.8978250531
"1436","alpha",11708.3551913509
"1437","beta",12304.0434895763
"1438","endothelial",13331.4476645056
"1439","alpha",20901.382146534
"1440","alpha",10494.2447315066
"1441","acinar",11896.1756488229
"1442","beta",6386.97967682821
"1443","acinar",22597.3029993409
"1444","alpha",9381.09359907481
"1445","pp",6674.89483831911
"1446","duct",21571.6486707019
"1447","alpha",9910.84707313956
"1448","duct",6317.06177330595
"1449","alpha",14128.228740497
"1450","beta",15251.6106732959
"1451","acinar",24573.8288975891
"1452","beta",13321.3141383042
"1453","duct",20670.9382626782
"1454","alpha",12270.6491552524
"1455","duct",11482.7356172551
"1456","alpha",9198.57539656128
"1457","duct",17369.5371566842
"1458","alpha",7009.72475082168
"1459","endothelial",9416.54198786957
"1460","alpha",12121.3230188094
"1461","beta",7521.86021665651
"1462","alpha",12193.9610442799
"1463","alpha",13300.5952969248
"1464","alpha",14353.4614074218
"1465","acinar",20913.5614294205
"1466","beta",24541.1559778887
"1467","beta",6349.01572298414
"1468","alpha",11153.7652587
"1469","duct",6140.32785398204
"1470","alpha",14971.655568325
"1471","beta",15053.2711671812
"1472","beta",20335.4252466949
"1473","beta",13580.0053417578
"1474","mesenchymal",29798.952933455
"1475","alpha",10336.2575110682
"1476","alpha",9209.46222373825
"1477","alpha",14016.4194929615
"1478","beta",14630.8378927756
"1479","alpha",13160.1911655056
"1480","beta",11170.4520219456
"1481","duct",35033.1917752756
"1482","duct",23651.4983228141
"1483","beta",12385.0146036169
"1484","beta",14275.5905720342
"1485","beta",15086.2309565221
"1486","alpha",26264.0883971049
"1487","alpha",16031.1355992978
"1488","acinar",22916.4512812308
"1489","alpha",10989.0568887105
"1490","alpha",14541.0428961125
"1491","delta",10989.3525151114
"1492","beta",15101.0758670871
"1493","alpha",6431.01467102371
"1494","beta",19168.1934875427
"1495","acinar",23885.4813611154
"1496","alpha",16227.2172884936
"1497","beta",16886.5484122511
"1498","duct",21062.9623239293
"1499","beta",12006.5360140058
"1500","alpha",6389.98655892187
"1501","beta",20431.8689045717
"1502","acinar",29495.7792136779
"1503","beta",13005.576922942
"1504","alpha",17205.1557677808
"1505","delta",9030.93194401077
"1506","beta",12506.4550212736
"1507","beta",12868.4335425106
"1508","beta",22477.9245988916
"1509","duct",17365.0092891405
"1510","beta",17160.1052288204
"1511","pp",11031.0196897222
"1512","alpha",29660.8193128581
"1513","beta",9042.27986690726
"1514","delta",15085.1482697892
"1515","alpha",15683.7927726822
"1516","beta",21766.6618235922
"1517","acinar",28742.4839291959
"1518","alpha",17928.0201336467
"1519","alpha",23919.7048233031
"1520","acinar",17058.8601858512
"1521","beta",16466.5802688712
"1522","alpha",8926.70633307016
"1523","pp",7702.76541385066
"1524","acinar",24654.5437932879
"1525","alpha",12695.1052975313
"1526","beta",11136.6557552074
"1527","alpha",13990.4804849585
"1528","pp",8565.79682453502
"1529","delta",15840.6307942501
"1530","mesenchymal",35847.4994882533
"1531","duct",14877.4799083351
"1532","duct",7560.41012251124
"1533","beta",15689.7569205795
"1534","duct",30244.3996765383
"1535","alpha",17791.6486177075
"1536","beta",9555.86628165921
"1537","pp",8433.84757968927
"1538","acinar",30636.7718733862
"1539","delta",15429.4741962736
"1540","beta",7974.86339718243
"1541","duct",15141.0854881391
"1542","beta",13512.7450477627
"1543","alpha",12695.2985907106
"1544","delta",10955.5117572722
"1545","pp",8077.60822247271
"1546","duct",16064.4028885178
"1547","alpha",15012.1521680745
"1548","endothelial",7559.80783919897
"1549","acinar",18266.2942567536
"1550","beta",27941.5928981781
"1551","delta",18000.4905562766
"1552","beta",19211.8819664047
"1553","alpha",8025.51643972626
"1554","duct",20625.9788912238
"1555","alpha",19538.7002206335
"1556","endothelial",9873.43050439355
"1557","beta",23533.3461229845
"1558","beta",21799.3358343208
"1559","beta",11587.6350439605
"1560","alpha",23844.079070508
"1561","acinar",32875.2114112505
"1562","mesenchymal",14112.7741701186
"1563","alpha",10031.9624689459
"1564","duct",30968.7208337193
"1565","beta",24647.8051426456
"1566","alpha",20682.5483800342
"1567","alpha",25019.970186639
"1568","acinar",53358.32874315
"1569","beta",25476.8256387567
"1570","alpha",26993.4618998532
"1571","delta",20848.5915137044
"1572","pp",10625.6408219541
"1573","delta",14077.077740672
"1574","pp",15521.2952304155
"1575","delta",8513.5155766579
"1576","beta",16963.8534732699
"1577","beta",10627.8699423181
"1578","duct",16418.7490578058
"1579","delta",19952.9987744444
"1580","duct",41866.2185262484
"1581","beta",19149.3213078948
"1582","duct",15700.961574782
"1583","acinar",6974.18728506561
"1584","alpha",8578.7932023998
"1585","beta",11662.3709484658
"1586","beta",23734.7698623286
"1587","duct",18966.1745049634
"1588","alpha",39790.1261133943
"1589","pp",19826.2704564719
"1590","beta",22322.5359339204
"1591","acinar",42722.7468368266
"1592","duct",11341.2788123546
"1593","acinar",30662.3555389419
"1594","mesenchymal",34405.7155523669
"1595","alpha",11092.2951358326
"1596","duct",21333.7870803914
"1597","acinar",22553.4494389679
"1598","alpha",23180.9728854306
"1599","delta",8445.4304600532
"1600","delta",11895.8215752605
"1601","alpha",9085.71772527993
"1602","alpha",14645.310184553
"1603","alpha",10960.5193186311
"1604","duct",29710.0225917527
"1605","beta",7709.08784090256
"1606","alpha",9355.09932133486
"1607","alpha",11394.4430183837
"1608","alpha",11352.7971918972
"1609","acinar",23791.3708231462
"1610","delta",14676.0832870963
"1611","alpha",12736.2441763963
"1612","acinar",53379.0892776577
"1613","alpha",19235.920252111
"1614","alpha",11301.1278187103
"1615","mesenchymal",13652.2809364735
"1616","beta",6348.92020399739
"1617","alpha",11417.539474713
"1618","alpha",7523.4482288811
"1619","acinar",14251.3861173409
"1620","acinar",22600.4088237659
"1621","duct",10029.8617874364
"1622","beta",7868.03141166513
"1623","alpha",8982.1522105783
"1624","duct",9679.18301764834
"1625","alpha",8544.46519963168
"1626","alpha",10157.3195957498
"1627","beta",8195.09634775666
"1628","alpha",9316.71981835584
"1629","alpha",35400.6514934097
"1630","duct",12838.3850869896
"1631","duct",27801.9126058962
"1632","endothelial",7767.2053861234
"1633","beta",10923.45682118
"1634","duct",12157.7700131233
"1635","alpha",8070.23455002175
"1636","alpha",7336.46335120782
"1637","beta",7696.09725959277
"1638","alpha",38528.6541928653
"1639","beta",20656.5154660571
"1640","alpha",10156.8371173329
"1641","acinar",10006.0551458562
"1642","alpha",34557.5471682991
"1643","beta",18532.7823377991
"1644","alpha",23887.6476024008
"1645","alpha",9612.02755169667
"1646","alpha",16354.0473967727
"1647","acinar",32822.2255446639
"1648","acinar",13183.6481026996
"1649","alpha",20020.69502058
"1650","beta",10318.6663078514
"1651","alpha",43557.3837834624
"1652","beta",12795.0580107961
"1653","delta",8860.06167572357
"1654","mesenchymal",13217.0407826107
"1655","alpha",13135.5143387843
"1656","acinar",36967.8947526262
"1657","alpha",7851.78375748483
"1658","beta",7967.75388809775
"1659","alpha",26931.1567055485
"1660","endothelial",7729.28256810269
"1661","duct",9698.21345436535
"1662","alpha",13516.3570021604
"1663","alpha",12439.7472073036
"1664","delta",10182.1306094577
"1665","alpha",16046.3885878882
"1666","beta",10172.7231309793
"1667","alpha",20385.7158967724
"1668","alpha",22165.0531497007
"1669","duct",14600.1841709635
"1670","beta",11714.371146698
"1671","alpha",7428.26078932585
"1672","acinar",23384.2885799126
"1673","beta",10410.0604121009
"1674","beta",14343.118557167
"1675","acinar",45048.1494242049
"1676","alpha",21162.504285748
"1677","delta",24438.2735126459
"1678","duct",41988.241997452
"1679","alpha",55582.1446318895
"1680","mesenchymal",45712.8643745609
"1681","beta",44607.181259712
"1682","pp",16359.0506700528
"1683","duct",24896.9434300857
"1684","alpha",6943.23305473093
"1685","acinar",38616.4825327327
"1686","alpha",7418.19337848014
"1687","alpha",58228.9901896152
"1688","alpha",17323.014959887
"1689","alpha",20199.4755045609
"1690","alpha",30951.5259161182
"1691","acinar",46177.8382180856
"1692","alpha",17002.5439478212
"1693","alpha",19566.4250218686
"1694","delta",15248.9084343224
"1695","alpha",31374.6574522799
"1696","delta",21183.601117242
"1697","alpha",31831.3996202263
"1698","alpha",10290.1943639973
"1699","alpha",18446.5277818701
"1700","delta",16445.76346861
"1701","acinar",46289.0784512498
"1702","alpha",24434.5267162124
"1703","mesenchymal",39109.3051425395
"1704","beta",19697.9381429336
"1705","beta",8950.32032100577
"1706","beta",24860.0495722995
"1707","beta",24556.5296753686
"1708","alpha",9892.3182400949
"1709","duct",42733.0828017283
"1710","alpha",29121.3222821128
"1711","duct",7924.2448766852
"1712","delta",7386.73123474648
"1713","alpha",41356.8823985931
"1714","acinar",119411.33275244
"1715","acinar",33207.3587903654
"1716","acinar",52122.5128586703
"1717","beta",29717.8697566666
"1718","acinar",22611.5602436007
"1719","beta",26195.7122132019
"1720","alpha",20635.0889965329
"1721","beta",61667.7891279238
"1722","delta",60714.6373604489
"1723","duct",18496.5927623061
"1724","acinar",49908.3647910135
"1725","delta",27899.7826233474
"1726","acinar",41463.2063963132
"1727","delta",23650.67569919
"1728","beta",71297.1131498662
"1729","acinar",49148.1604954014
"1730","beta",37818.6986441838
"1731","duct",25436.061197271
"1732","mesenchymal",52725.9247603092
"1733","acinar",167572.328299877
"1734","beta",20262.5570837315
"1735","alpha",30046.5538398408
"1736","alpha",24605.1483199304
"1737","alpha",26769.3067006346
"1738","alpha",22487.2626347179
"1739","alpha",18367.5470187444
"1740","beta",260576.239460874
"1741","alpha",42290.1443117727
"1742","alpha",16472.1630272939
"1743","delta",66697.7209644923
"1744","alpha",42408.4807721044
"1745","acinar",38239.6866908039
"1746","mesenchymal",51850.6928514808
"1747","alpha",25880.9494573702
"1748","duct",16558.4805422175
"1749","alpha",23024.8377263475
"1750","alpha",27148.328547219
"1751","delta",45323.3014399926
"1752","alpha",37736.244931289
"1753","duct",97990.3471215786
"1754","alpha",28200.8845570099
"1755","alpha",16385.382963309
"1756","beta",26210.7128165225
"1757","alpha",14093.5289943115
"1758","delta",20669.5682722446
"1759","beta",25895.7524239747
"1760","alpha",15834.7672127984
"1761","mesenchymal",34624.4193811028
"1762","mesenchymal",57485.5994502327
"1763","alpha",10148.1118817276
"1764","alpha",22313.7648601026
"1765","acinar",41361.273165323
"1766","beta",21663.6110418755
"1767","alpha",27925.2130534302
"1768","alpha",17343.6268345846
"1769","mesenchymal",28261.1211201569
"1770","mesenchymal",42032.1782493003
"1771","duct",6623.59159693723
"1772","beta",14190.4512973747
"1773","beta",17851.428431912
"1774","alpha",14617.5154741577
"1775","alpha",8228.4603655863
"1776","beta",28129.5042255746
"1777","beta",15543.7715681228
"1778","pp",11595.7600290222
"1779","alpha",21705.384142358
"1780","duct",25503.1805587367
"1781","delta",11158.0670421427
"1782","alpha",22695.7005008062
"1783","alpha",8921.67627002036
"1784","pp",9011.55426637163
"1785","delta",15513.7026044538
"1786","delta",31065.2784275893
"1787","alpha",71848.4923883636
"1788","alpha",31625.6599659264
"1789","alpha",13734.7274094719
"1790","alpha",15064.8426054978
"1791","alpha",14358.7753819993
"1792","alpha",13952.736614045
"1793","alpha",18848.5739943719
"1794","alpha",18485.5957469013
"1795","duct",14443.4699115375
"1796","alpha",20743.3849912733
"1797","alpha",12463.4802941795
"1798","alpha",21837.4212527572
"1799","beta",11719.4416225547
"1800","alpha",20205.7775867072
"1801","beta",21428.5964485534
"1802","mesenchymal",32606.3412330709
"1803","alpha",10668.324659823
"1804","alpha",25190.2264606452
"1805","alpha",21170.8478333687
"1806","delta",19637.1104515248
"1807","alpha",21748.3252475982
"1808","acinar",40019.657784149
"1809","alpha",32420.7089842982
"1810","alpha",26252.7064366729
"1811","alpha",20162.741601372
"1812","duct",36056.5610008181
"1813","alpha",25538.2457319198
"1814","beta",16060.3467860237
"1815","beta",21953.0507306957
"1816","beta",93105.0392928822
"1817","beta",64743.0295050093
"1818","beta",26894.2541711508
"1819","alpha",57849.8446667355
"1820","alpha",54507.4130922264
"1821","beta",19996.0334611713
"1822","mesenchymal",48119.6787328456
"1823","alpha",25139.7701126168
"1824","mesenchymal",36679.3464891172
"1825","delta",36831.0269061887
"1826","acinar",41725.4454272179
"1827","alpha",25650.3476012762
"1828","alpha",31237.6050091452
"1829","beta",22055.43160896
"1830","alpha",25927.3592582126
"1831","delta",34168.4743787217
"1832","alpha",24416.9507262659
"1833","beta",123326.103228604
"1834","mesenchymal",35627.1973119972
"1835","alpha",69212.1389331822
"1836","alpha",16953.5860184853
"1837","delta",12302.9827649485
"1838","delta",20133.1481131538
"1839","beta",37799.5597975405
"1840","beta",37080.2541776272
"1841","alpha",31860.4217414719
"1842","alpha",30222.4857727732
"1843","beta",16883.009796189
"1844","delta",20344.2367137585
"1845","duct",7206.73600418994
"1846","alpha",26984.0997786126
"1847","delta",19225.7449925911
"1848","alpha",24399.1675333986
"1849","beta",29906.077430318
"1850","duct",15284.0987249353
"1851","acinar",20450.7110729376
"1852","alpha",14825.2245078426
"1853","alpha",28403.315446795
"1854","endothelial",11873.597248921
"1855","beta",111717.817751975
"1856","beta",15688.7548139841
"1857","alpha",16733.7493813045
"1858","delta",14001.5437299488
"1859","alpha",22296.7785570314
"1860","duct",24226.4496457146
"1861","beta",11729.3951764247
"1862","beta",17811.0460039853
"1863","mesenchymal",37194.0723784146
